"ddg.num","ddg.type","ddg.from","ddg.to"
1,"cf","p1","p2"
2,"cf","p2","p3"
3,"df.in","d1","p3"
4,"df.out","p3","d2"
5,"cf","p3","p4"
6,"df.in","d2","p4"
7,"cf","p4","p5"
8,"cf","p5","p6"
9,"df.in","d2","p6"
10,"cf","p6","p7"
11,"df.in","d2","p7"
12,"df.out","p7","d3"
13,"cf","p7","p8"
14,"df.in","d3","p8"
15,"cf","p8","p9"
16,"df.in","d2","p9"
17,"cf","p9","p10"
18,"df.in","d2","p10"
19,"df.out","p10","d4"
20,"cf","p10","p11"
21,"df.in","d4","p11"
22,"cf","p11","p12"
