"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"Data",1,"species","""Asplenium truncorum""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"URL",2,"https://api.splink.org.br/records/scientificName/Asplenium%20truncorum/Format/JSON/","data/2-JSON","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2020-12-16T19.58.03-03","3f28c575962bae9344dec21373f86d59",""
"Data",3,"data_splink","Row 1         1 2020-09-29 14:53:10-03            UFPR           UPCB         70...","{""container"":""data_frame"", ""dimension"":[41,44], ""type"":[""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"File",4,"specieslink.csv","data/4-specieslink.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-12-16T19.57.59-03","981f33e4e5cab49061b6533d9d03adbd","/home/mondelli/Dropbox/Reproducibility/prov2repr/results/specieslink.csv"
"File",5,"iconvlist","data/5-iconvlist","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","namespace:base",FALSE,"2020-06-23T09.11.46-03","70810d779f01dd7ba82b7ed4c3d0b166","/usr/lib/R/library/utils/iconvlist"
"Data",6,"data_gbif","Row 1 Asplenium truncorum 1090515804 Asplenium truncorum F.B.Matos, Labiak & Syl...","{""container"":""data_frame"", ""dimension"":[34,133], ""type"":[""character"",""character"",""character"",""numeric"",""numeric"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""integer"",""character"",""character"",""character"",""character"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""integer"",""integer"",""integer"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""logical"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""numeric"",""numeric"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""integer"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"File",7,"gbif.csv","data/7-gbif.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-12-16T19.58.35-03","2ae0551bb1adf921b02c4387e72fd4f3","/home/mondelli/Dropbox/Reproducibility/prov2repr/results/gbif.csv"
"Data",8,"species_name_raw","""Asplenium truncorum""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",9,"species_name_check","Row 1 Asplenium truncorum   possibly_ok Asplenium truncorum","{""container"":""data_frame"", ""dimension"":[1,3], ""type"":[""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",10,"species_ok","Row 1 Asplenium truncorum   possibly_ok Asplenium truncorum","{""container"":""data_frame"", ""dimension"":[1,3], ""type"":[""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",11,"suggest_taxa","Row 1 Asplenium truncorum Asplenium truncorum","{""container"":""data_frame"", ""dimension"":[1,2], ""type"":[""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",12,"search_taxa","""Asplenium truncorum""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"URL",13,"http://servicos.jbrj.gov.br/flora/taxon/Asplenium%20truncorum","data/13-Asplenium%20truncorum","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2020-12-16T19.58.46-03","8f65cb05c7f6dae635409c9c3034b343",""
"Data",14,"list_taxa","taxon.taxonID                           taxon.family                            ...","{""container"":""list"", ""dimension"":[1]}","R_GlobalEnv",FALSE,"","",""
