"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","Los Rios","Chile","2021-01-07 05:22:03",-40.231,-72.3311,9567,102,8743,722,"Los Rios, Chile",2485.98757395988,1.06616494198808
NA,"","Magallanes","Chile","2021-01-07 05:22:03",-52.368,-70.9863,17445,233,16648,564,"Magallanes, Chile",10475.40127182,1.33562625394096
NA,"","Maule","Chile","2021-01-07 05:22:03",-35.5183,-71.6885,27117,568,24809,1740,"Maule, Chile",2595.05239485143,2.09462698676107
NA,"","Metropolitana","Chile","2021-01-07 05:22:03",-33.4376,-70.6505,322909,10889,307675,4345,"Metropolitana, Chile",4539.82449687943,3.37215748090019
NA,"","Nuble","Chile","2021-01-07 05:22:03",-36.7226,-71.7622,11151,221,10444,486,"Nuble, Chile",2320.18127001367,1.98188503273249
NA,"","OHiggins","Chile","2021-01-07 05:22:03",-34.5755,-71.0022,22131,594,20935,602,"OHiggins, Chile",2419.8653990192,2.68401789345262
NA,"","Tarapaca","Chile","2021-01-07 05:22:03",-19.9232,-69.5132,16573,291,15414,868,"Tarapaca, Chile",5013.64359658517,1.75586797803657
NA,"","Unknown","Chile","2021-01-07 05:22:03",NA,NA,58,1,46,11,"Unknown, Chile",NA,1.72413793103448
NA,"","Valparaiso","Chile","2021-01-07 05:22:03",-33.0472,-71.6127,36832,1261,34436,1135,"Valparaiso, Chile",2028.3032894947,3.42365334491746
NA,"","Amazonas","Colombia","2021-01-07 05:22:03",-1.4429,-71.5724,3288,126,3127,35,"Amazonas, Colombia",4293.04469310214,3.83211678832117
NA,"","Antioquia","Colombia","2021-01-07 05:22:03",7.1986,-75.3412,276328,4965,254076,17287,"Antioquia, Colombia",4312.83909636525,1.7967777423931
NA,"","Arauca","Colombia","2021-01-07 05:22:03",7.0762,-70.7105,4648,135,4354,159,"Arauca, Colombia",1772.86840037532,2.90447504302926
NA,"","Atlantico","Colombia","2021-01-07 05:22:03",10.6966,-74.8741,96957,3489,90101,3367,"Atlantico, Colombia",3823.95385240959,3.59850242891179
NA,"","Bolivar","Colombia","2021-01-07 05:22:03",8.6704,-74.03,54133,1135,50847,2151,"Bolivar, Colombia",2614.98181256069,2.09668778748638
NA,"","Boyaca","Colombia","2021-01-07 05:22:03",5.4545,-73.362,30240,651,27587,2002,"Boyaca, Colombia",2484.03122782115,2.15277777777778
NA,"","Caldas","Colombia","2021-01-07 05:22:03",5.2983,-75.2479,34097,673,31150,2274,"Caldas, Colombia",3415.66032727109,1.9737806845177
NA,"","Capital District","Colombia","2021-01-07 05:22:03",4.711,-74.0721,496317,10203,445357,40757,"Capital District, Colombia",6695.61660563967,2.05574259999154
NA,"","Caqueta","Colombia","2021-01-07 05:22:03",0.8699,-73.8419,15238,536,13879,823,"Caqueta, Colombia",3795.37172873977,3.5175219845124
NA,"","Casanare","Colombia","2021-01-07 05:22:03",5.7589,-71.5724,9183,186,8404,593,"Casanare, Colombia",2183.80800182638,2.02548186867037
NA,"","Cauca","Colombia","2021-01-07 05:22:03",2.705,-76.826,19627,509,17642,1476,"Cauca, Colombia",1340.19534472116,2.59336628114332
NA,"","Cesar","Colombia","2021-01-07 05:22:03",9.3373,-73.6536,34088,1004,31335,1749,"Cesar, Colombia",2839.30853075279,2.94531800046937
