"kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
1.19632645,0.76031026,-2.08557998,0.23888442,0.76031026,-0.21471801,"Abarema_langsdorffii","brt",1,1,21,100,0.513431224811522,1.72234805390002e-09,0.885238095238095,NA,1.77047619047619,1.63060025171348,0,0.697142857142857,0.605005440696409,"spec_sens",0.173553719008264,0.529411764705882,0.96551724137931,0.857142857142857,0.84,0.16,0.142857142857143,0.84297520661157,0.56016835660991,0.654545454545455,0.486486486486487
0.80204824,-0.41440635,-1.09066564,0.00706954,-0.08663342,-0.34698609,"Abarema_langsdorffii","brt",1,2,21,100,0.593369303939137,7.39251726725172e-13,0.925714285714286,NA,1.85142857142857,1.68069249910029,0,0.772380952380952,0.637569533590073,"spec_sens",0.173553719008264,0.526315789473684,0.987951807228916,0.952380952380952,0.82,0.18,0.0476190476190476,0.84297520661157,0.585242648385351,0.677966101694915,0.512820512820513
1.9650229,-0.11611396,-1.59146165,0.12505517,0.1085429,-0.64297449,"Abarema_langsdorffii","brt",1,3,20,100,0.470331940749021,5.94940208297549e-08,0.8675,NA,1.735,1.69764266458839,0,0.64,0.522727272727273,"spec_sens",0.166666666666667,0.409090909090909,0.973684210526316,0.9,0.74,0.26,0.1,0.766666666666667,0.432432432432433,0.5625,0.391304347826087
2.41152654,-0.45371808,-3.10235952,0.18992295,-0.07741416,-0.40823897,"Abarema_langsdorffii","brt",1,4,21,100,0.536556882769498,2.24698102215811e-10,0.879523809523809,NA,1.75904761904762,1.47895097442865,0,0.654761904761905,0.635042500685495,"spec_sens",0.173553719008264,0.431818181818182,0.974025974025974,0.904761904761905,0.75,0.25,0.0952380952380952,0.776859504132231,0.457038391224863,0.584615384615385,0.41304347826087
1.72619922,0.1372736,-2.90874444,0.1372736,-0.47186469,-1.03482407,"Abarema_langsdorffii","brt",1,5,21,100,0.487605749219528,1.40872212260043e-08,0.83952380952381,NA,1.67904761904762,1.37343348611647,0,0.601904761904762,0.503225806451613,"spec_sens",0.173553719008264,0.5,0.943820224719101,0.761904761904762,0.84,0.16,0.238095238095238,0.826446280991736,0.498717695797988,0.60377358490566,0.432432432432432
