"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"File",53,"package.rds","data/53-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.46.03-03","cdfdeb04148eb6ef223ac6540d3217c8","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/emld/Meta/package.rds"
"File",54,"package.rds","data/54-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.06.16-03","246c2b6dbb6e573ec2223dee88dc3ec7","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/tibble/Meta/package.rds"
"File",55,"package.rds","data/55-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.04.59-03","6a291736b7eb64211339df8043c220df","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/generics/Meta/package.rds"
"File",56,"package.rds","data/56-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","03d96be6ef83769210d80e27be516a2d","/usr/lib/R/library/datasets/Meta/package.rds"
"File",57,"package.rds","data/57-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.19.16-03","1487fa93359739323344d6ebb3b5d9c2","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/ggplot2/Meta/package.rds"
"File",58,"package.rds","data/58-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.08.05-03","59c341cf9ec13cd9df3565cc6fe61fe9","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/ellipsis/Meta/package.rds"
"File",59,"package.rds","data/59-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-01T16.03.01-03","1c95de0cd9e514f1c8562eff3f2cbd0a","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/withr/Meta/package.rds"
"File",60,"package.rds","data/60-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-01T17.10.33-03","32f504251926a9367a626eb160ebf83d","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rdt/Meta/package.rds"
"File",61,"package.rds","data/61-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.04.25-03","c4e017da9034856ad790bea059667a37","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/lazyeval/Meta/package.rds"
"File",62,"package.rds","data/62-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.45.34-03","5a56668306a4ac4b4a3ad3f3c9703ece","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/cli/Meta/package.rds"
"File",63,"package.rds","data/63-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.45.32-03","36010952303b91fc9eba368839ea85dc","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/magrittr/Meta/package.rds"
"File",64,"package.rds","data/64-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.59.34-03","38f948fdefacccff8358b6b9d05a5df0","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/crayon/Meta/package.rds"
"File",65,"package.rds","data/65-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.00.01-03","ef4b855b1a541057e56a22f19bb10659","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/evaluate/Meta/package.rds"
"File",66,"package.rds","data/66-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","4b26da284776b0cd1aa6f7ff8b520ad5","/usr/lib/R/library/methods/Meta/package.rds"
"File",67,"package.rds","data/67-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.59.36-03","6e2ac1824f3293e763adebe7cdb8198d","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/fansi/Meta/package.rds"
"File",68,"package.rds","data/68-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.05.04-03","47c75ecb252860cfbbc5ee77e61d44fc","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/xml2/Meta/package.rds"
"File",69,"package.rds","data/69-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","64d890307d0e32d52b352b1354858c4d","/usr/lib/R/library/utils/Meta/package.rds"
"File",70,"package.rds","data/70-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","52637d1cdf05878923dbf5bfa19f4670","/usr/lib/R/library/tools/Meta/package.rds"
"File",71,"package.rds","data/71-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.12.53-03","bff8bedc089983afb942ee8049cd08b1","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/dismo/Meta/package.rds"
"File",72,"package.rds","data/72-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.05.03-03","d9c14d450117039e9dadf6c630f508b8","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/data.table/Meta/package.rds"
"File",73,"package.rds","data/73-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.05.16-03","876c6311b51a4c883813d4be2036df21","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/gbRd/Meta/package.rds"
"File",74,"package.rds","data/74-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.07.54-03","87cfe7bb5144664b589f266301d8acdb","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/lifecycle/Meta/package.rds"
"File",75,"package.rds","data/75-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.07.52-03","a32ac81e7244becc509493f7fe0c3364","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/stringr/Meta/package.rds"
"File",76,"package.rds","data/76-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.51.47-03","16111630b65bdd1dcf51989c15258152","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/flora/Meta/package.rds"
"File",77,"package.rds","data/77-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-11T13.48.10-03","ba704e07deeceda2cac7074d7482fae7","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/V8/Meta/package.rds"
"File",78,"package.rds","data/78-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.07.57-03","124155dcb14b1b84d49589949a5ee9a9","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/munsell/Meta/package.rds"
"File",79,"package.rds","data/79-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T11.24.37-03","47aeedb8acfa8d19d700d17ac1e09ad3","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/geoaxe/Meta/package.rds"
"File",80,"package.rds","data/80-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","bf32ef2cb6e239d9295b8940e7b84e9b","/usr/lib/R/library/stats/Meta/package.rds"
"File",81,"package.rds","data/81-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","9b67d569a63bf8327cca1ad9884b09d5","/usr/lib/R/library/compiler/Meta/package.rds"
"File",82,"package.rds","data/82-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.51.39-03","e16a5a26cf98cffba2f538d2ba89913f","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/jqr/Meta/package.rds"
"File",83,"package.rds","data/83-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.04.08-03","48541390696422a5c551591be2a5762d","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rlang/Meta/package.rds"
"File",84,"package.rds","data/84-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","9689523e39f8b13e6762b48e3c1f8eae","/usr/lib/R/library/grid/Meta/package.rds"
"File",85,"package.rds","data/85-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T13.35.18-03","4108665b14db4ca9a7d11f92c574f640","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/conditionz/Meta/package.rds"
"File",86,"package.rds","data/86-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-11T13.55.45-03","d336655e6388ed77cba73a4c55c05ea6","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/jsonld/Meta/package.rds"
"File",87,"package.rds","data/87-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.45.38-03","183212b91060b6e77c5103094062bdef","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rstudioapi/Meta/package.rds"
"File",88,"package.rds","data/88-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","64e8172aadb96a930693f3e4efe9db47","/usr/lib/R/library/graphics/Meta/package.rds"
"File",89,"package.rds","data/89-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.46.00-03","0c428b56e3bd608939f255399e68fc29","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rappdirs/Meta/package.rds"
"File",90,"package.rds","data/90-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.14.02-03","365dfb5324dfbeeaf12dc4d7f15b992b","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rmarkdown/Meta/package.rds"
"File",91,"package.rds","data/91-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.58.47-03","439573aa78033a0e39f72e873ebd771c","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/gtable/Meta/package.rds"
"File",92,"package.rds","data/92-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-05-16T12.30.19-03","e42e20d0c9c7aaa8c35d58fa015cde01","/usr/lib/R/library/codetools/Meta/package.rds"
"File",93,"package.rds","data/93-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.02.19-03","9f5130bbf471524c669807d0681602eb","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/curl/Meta/package.rds"
"File",94,"package.rds","data/94-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.04.58-03","68838a61fafc8b6be5dd94266913f5c2","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/R6/Meta/package.rds"
"File",95,"package.rds","data/95-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-01T16.04.22-03","b966ec36fa3717261fdef1e023a0377e","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/knitr/Meta/package.rds"
"File",96,"package.rds","data/96-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T13.59.35-03","4f11a94d989eb9db8f52c766701137d6","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/dplyr/Meta/package.rds"
