"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"Data",1,"species","""Asplenium truncorum""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"URL",2,"https://api.splink.org.br/records/scientificName/Asplenium%20truncorum/Format/JSON/","data/2-JSON","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2020-12-16T19.59.43-03","3f28c575962bae9344dec21373f86d59",""
"Data",3,"data_splink","Row 1         1 2020-09-29 14:53:10-03            UFPR           UPCB         70...","{""container"":""data_frame"", ""dimension"":[41,44], ""type"":[""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"File",4,"specieslink.csv","data/4-specieslink.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-12-16T19.59.39-03","981f33e4e5cab49061b6533d9d03adbd","/home/mondelli/Dropbox/Reproducibility/prov2repr/results/specieslink.csv"
"File",5,"iconvlist","data/5-iconvlist","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","namespace:base",FALSE,"2020-06-23T09.11.46-03","70810d779f01dd7ba82b7ed4c3d0b166","/usr/lib/R/library/utils/iconvlist"
"Data",6,"data_gbif","Row 1 Asplenium truncorum 1090515804 Asplenium truncorum F.B.Matos, Labiak & Syl...","{""container"":""data_frame"", ""dimension"":[34,133], ""type"":[""character"",""character"",""character"",""numeric"",""numeric"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""integer"",""character"",""character"",""character"",""character"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""integer"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""integer"",""integer"",""integer"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""logical"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""numeric"",""numeric"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""integer"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"File",7,"gbif.csv","data/7-gbif.csv","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-12-16T19.59.45-03","2ae0551bb1adf921b02c4387e72fd4f3","/home/mondelli/Dropbox/Reproducibility/prov2repr/results/gbif.csv"
"Data",8,"species_name_raw","""Asplenium truncorum""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",9,"species_name_check","Row 1 Asplenium truncorum   possibly_ok Asplenium truncorum","{""container"":""data_frame"", ""dimension"":[1,3], ""type"":[""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",10,"species_ok","Row 1 Asplenium truncorum   possibly_ok Asplenium truncorum","{""container"":""data_frame"", ""dimension"":[1,3], ""type"":[""character"",""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",11,"suggest_taxa","Row 1 Asplenium truncorum Asplenium truncorum","{""container"":""data_frame"", ""dimension"":[1,2], ""type"":[""character"",""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",12,"search_taxa","""Asplenium truncorum""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"URL",13,"http://servicos.jbrj.gov.br/flora/taxon/Asplenium%20truncorum","data/13-Asplenium%20truncorum","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2020-12-16T19.59.47-03","8f65cb05c7f6dae635409c9c3034b343",""
"Data",14,"list_taxa","taxon.taxonID                           taxon.family                            ...","{""container"":""list"", ""dimension"":[1]}","R_GlobalEnv",FALSE,"","",""
"Data",15,"species","""Abarema_langsdorffii"" ""Eugenia_florida""      ""Leandra_carassana""    ""Ouratea_se...","{""container"":""vector"", ""dimension"":[4], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"Data",16,"occs","Row 343 Abarema_langsdorffii -40.615 -19.921","{""container"":""data_frame"", ""dimension"":[104,3], ""type"":[""character"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",17,"test_folder","""~/Dropbox/Reproducibility/rdt_new/modler_results""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"File",18,"package.rds","data/18-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","0f28b070a556ad4a7771fc28980eba46","/usr/lib/R/library/base/Meta/package.rds"
"File",19,"package.rds","data/19-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T11.20.49-03","e32e18eab66f1bb338ff6ed9ab8b4fc5","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/httr/Meta/package.rds"
"File",20,"package.rds","data/20-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-01T15.57.53-03","7f605dabb3675676eb30b5c0b485be6e","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/jsonlite/Meta/package.rds"
"File",21,"package.rds","data/21-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-01T16.06.52-03","39776794d2cb0b05378619f02438c36a","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rgbif/Meta/package.rds"
"File",22,"package.rds","data/22-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.12.06-03","9af692352b7d07b0bfb0758c21921a30","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/Rdpack/Meta/package.rds"
"File",23,"package.rds","data/23-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.59.45-03","02acc4ff9c5f82d6fe497a1da7cb1682","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/assertthat/Meta/package.rds"
"File",24,"package.rds","data/24-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T11.19.39-03","d62f01bad3982d7483f662f95a18c0a5","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/triebeard/Meta/package.rds"
"File",25,"package.rds","data/25-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.04.25-03","f2fde04f9e9ad3d8ed808ada20a1edc0","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/sp/Meta/package.rds"
"File",26,"package.rds","data/26-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T13.34.30-03","0d050d281d0b8ed089d6a35d14f2b7d1","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/urltools/Meta/package.rds"
"File",27,"package.rds","data/27-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-06-23T09.11.46-03","068d83b2e2f31447adc1e6b612ba38e9","/usr/lib/R/library/grDevices/Meta/package.rds"
"File",28,"package.rds","data/28-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.04.02-03","6f13f422d3bad8aadb7246c0142e5c46","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/yaml/Meta/package.rds"
"File",29,"package.rds","data/29-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T11.18.29-03","4c787d83564402b07d1ad6d554132682","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/remotes/Meta/package.rds"
"File",30,"package.rds","data/30-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.13.11-03","fe11ae7ff16bc3d343630ac4f462d874","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/sessioninfo/Meta/package.rds"
"File",31,"package.rds","data/31-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.53.08-03","5896b8a2f51ec29fe3aff3c96d81f337","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/Rocc/Meta/package.rds"
"File",32,"package.rds","data/32-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.46.21-03","bc4ed03fe691f3b47b5b57747b3b8fce","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/pillar/Meta/package.rds"
"File",33,"package.rds","data/33-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.43.07-03","7204fc6f994734b27fee229115051567","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/lattice/Meta/package.rds"
"File",34,"package.rds","data/34-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-01T15.57.49-03","3ab01d258c090c0c24048520b1f7d116","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/glue/Meta/package.rds"
"File",35,"package.rds","data/35-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T11.22.22-03","3261967626b28d001c7f4c2684aec361","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/uuid/Meta/package.rds"
"File",36,"package.rds","data/36-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.04.42-03","8f1b0a46dab8f66476feb3772dd25b4b","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/digest/Meta/package.rds"
"File",37,"package.rds","data/37-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.05.52-03","4c758987849895182617bde10911c8e8","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/rbibutils/Meta/package.rds"
"File",38,"package.rds","data/38-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.52.33-03","35bc780ecb8749d62e2d4dd551c100ab","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/EML/Meta/package.rds"
"File",39,"package.rds","data/39-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.45.42-03","6883f3c06cabbc80285bb59ef7b9d87c","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/colorspace/Meta/package.rds"
"File",40,"package.rds","data/40-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.51.13-03","5b7dd6b68903fd259e13fed7b4cd7942","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/htmltools/Meta/package.rds"
"File",41,"package.rds","data/41-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.00.20-03","cd6729eadf458080962e183056687560","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/plyr/Meta/package.rds"
"File",42,"package.rds","data/42-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T19.59.43-03","8e20a6c37253adda62c6305211f066f7","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/pkgconfig/Meta/package.rds"
"File",43,"package.rds","data/43-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T13.59.45-03","91e3e1831f8e461ce7d99b22652938ae","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/oai/Meta/package.rds"
"File",44,"package.rds","data/44-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.14.43-03","dcc70f5567a2f247684c1e0f3dc077c8","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/maxnet/Meta/package.rds"
"File",45,"package.rds","data/45-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-08-24T11.20.44-03","047d65104f1b910c72762ca248aea316","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/httpcode/Meta/package.rds"
"File",46,"package.rds","data/46-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.46.11-03","6e90aed80da430c15b8f189d0efbf68c","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/qdapRegex/Meta/package.rds"
"File",47,"package.rds","data/47-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-05T15.08.17-03","275f53b32daf0a373fa6bf45707af379","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/raster/Meta/package.rds"
"File",48,"package.rds","data/48-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.07.46-03","f84a7483ef10680e790804a8f30e4eb3","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/purrr/Meta/package.rds"
"File",49,"package.rds","data/49-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.13.07-03","69fa9344ae2c2507967136f6df3e4cf1","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/scales/Meta/package.rds"
"File",50,"package.rds","data/50-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-24T17.46.17-03","0bbed4f63d54a9329f21808e16bdefcf","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/stringdist/Meta/package.rds"
"File",51,"package.rds","data/51-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-07-06T20.03.59-03","03fcf339b6f1873d3c43e465a78fbf5e","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/whisker/Meta/package.rds"
"File",52,"package.rds","data/52-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-11-03T17.15.06-03","9e1a45981ebb836da84eaf5468580ba8","/home/mondelli/R/x86_64-pc-linux-gnu-library/4.0/modleR/Meta/package.rds"
