"country_region","confirmed"
"Argentina",1730921
"Bahamas",8004
"Belize",11332
"Bolivia",175288
"Brazil",8131612
"Chile",645892
"Colombia",1801903
"Costa Rica",180061
"Cuba",15007
"Dominican Republic",183282
"Ecuador",221506
"El Salvador",48905
"Guatemala",143243
"Guyana",6588
"Haiti",10386
"Honduras",128701
"Jamaica",13637
"Mexico",1541633
"Nicaragua",6097
"Panama",281353
"Paraguay",116535
"Peru",1035184
"Suriname",7064
"Trinidad and Tobago",7273
"Uruguay",26901
"Venezuela",116983
