"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Argentina","2021-01-12 05:22:15",-38.4161,-63.6167,1730921,44654,1518715,167552,"Argentina",3829.82905681653,2.57978267061293
NA,"","","Bahamas","2021-01-12 05:22:15",25.025885,-78.035889,8004,175,6331,1498,"Bahamas",2035.3568231752,2.1864067966017
NA,"","","Belize","2021-01-12 05:22:15",17.1899,-88.4976,11332,275,10419,638,"Belize",2849.95007808944,2.42675608895164
NA,"","","Bolivia","2021-01-12 05:22:15",-16.2902,-63.5887,175288,9415,138809,27064,"Bolivia",1501.64965751392,5.3711606042627
NA,"","Acre","Brazil","2021-01-12 05:22:15",-9.0238,-70.812,43346,826,38970,3550,"Acre, Brazil",4914.87467897294,1.9055968255433
NA,"","Alagoas","Brazil","2021-01-12 05:22:15",-9.5713,-36.782,108820,2569,103446,2805,"Alagoas, Brazil",3260.66405242232,2.36077926851682
NA,"","Amapa","Brazil","2021-01-12 05:22:15",0.902,-52.003,71287,976,54715,15596,"Amapa, Brazil",8429.03949364514,1.36911358312175
NA,"","Amazonas","Brazil","2021-01-12 05:22:15",-3.4168,-65.8561,216112,5756,181460,28896,"Amazonas, Brazil",5214.30672270428,2.66343377507959
NA,"","Bahia","Brazil","2021-01-12 05:22:15",-12.5797,-41.7007,513756,9453,497735,6568,"Bahia, Brazil",3454.27142651978,1.83997851119987
NA,"","Ceara","Brazil","2021-01-12 05:22:15",-5.4984,-39.3206,345124,10160,276146,58818,"Ceara, Brazil",3779.24936690203,2.94386944982093
NA,"","Distrito Federal","Brazil","2021-01-12 05:22:15",-15.7998,-47.8645,259797,4368,248948,6481,"Distrito Federal, Brazil",8616.05004928252,1.68131271723692
NA,"","Espirito Santo","Brazil","2021-01-12 05:22:15",-19.1834,-40.3089,265313,5354,243995,15964,"Espirito Santo, Brazil",6602.04297463078,2.01799384123658
NA,"","Goias","Brazil","2021-01-12 05:22:15",-15.827,-49.8362,318013,6965,308161,2887,"Goias, Brazil",4531.1621499856,2.19016203740099
NA,"","Maranhao","Brazil","2021-01-12 05:22:15",-4.9609,-45.2744,202050,4568,191545,5937,"Maranhao, Brazil",2855.75732974181,2.26082652808711
NA,"","Mato Grosso","Brazil","2021-01-12 05:22:15",-12.6819,-56.9211,189132,4619,178504,6009,"Mato Grosso, Brazil",5427.86183019148,2.44220967366707
NA,"","Mato Grosso do Sul","Brazil","2021-01-12 05:22:15",-20.7722,-54.7852,144051,2565,128935,12551,"Mato Grosso do Sul, Brazil",5183.58134945624,1.78061936397526
NA,"","Minas Gerais","Brazil","2021-01-12 05:22:15",-18.5122,-44.555,595007,12736,531414,50857,"Minas Gerais, Brazil",2810.77459737781,2.14047901957456
NA,"","Para","Brazil","2021-01-12 05:22:15",-1.9981,-54.9306,302125,7315,283711,11099,"Para, Brazil",3511.91143880556,2.42118328506413
NA,"","Paraiba","Brazil","2021-01-12 05:22:15",-7.24,-36.782,173299,3824,130673,38802,"Paraiba, Brazil",4312.92988001624,2.20659092089395
NA,"","Parana","Brazil","2021-01-12 05:22:15",-25.2521,-52.0215,474949,8768,350073,116108,"Parana, Brazil",4153.84630185333,1.84609294892715
NA,"","Pernambuco","Brazil","2021-01-12 05:22:15",-8.8137,-36.9541,232756,9851,198249,24656,"Pernambuco, Brazil",2435.43236206993,4.23232913437248
NA,"","Piaui","Brazil","2021-01-12 05:22:15",-7.7183,-42.7289,147509,2906,144740,-137,"Piaui, Brazil",4506.53132214784,1.97004928512837
NA,"","Rio Grande do Norte","Brazil","2021-01-12 05:22:15",-5.4026,-36.9541,124523,3098,88210,33215,"Rio Grande do Norte, Brazil",3550.84744071109,2.4878938027513
NA,"","Rio Grande do Sul","Brazil","2021-01-12 05:22:15",-30.0346,-51.2177,482062,9498,457266,15298,"Rio Grande do Sul, Brazil",4237.07368721005,1.97028597981173
NA,"","Rio de Janeiro","Brazil","2021-01-12 05:22:15",-22.9068,-43.1729,461561,26771,428991,5799,"Rio de Janeiro, Brazil",2673.40008015086,5.80010009511202
NA,"","Rondonia","Brazil","2021-01-12 05:22:15",-11.5057,-63.5806,102518,1926,85353,15239,"Rondonia, Brazil",5768.43112155186,1.87869447316569
NA,"","Roraima","Brazil","2021-01-12 05:22:15",-2.7376,-62.0751,69785,793,66262,2730,"Roraima, Brazil",11520.2200207673,1.13634735258293
NA,"","Santa Catarina","Brazil","2021-01-12 05:22:15",-27.2423,-50.2189,522478,5677,494693,22108,"Santa Catarina, Brazil",7292.30229840715,1.0865529266304
NA,"","Sao Paulo","Brazil","2021-01-12 05:22:15",-23.5505,-46.6333,1549142,48379,1370112,130651,"Sao Paulo, Brazil",3373.63694095668,3.1229545128852
NA,"","Sergipe","Brazil","2021-01-12 05:22:15",-10.5741,-37.3857,123836,2585,107105,14146,"Sergipe, Brazil",5387.22823722667,2.08743822474886
NA,"","Tocantins","Brazil","2021-01-12 05:22:15",-10.1753,-48.2982,93261,1274,83825,8162,"Tocantins, Brazil",5929.36715524399,1.366058695489
NA,"","Antofagasta","Chile","2021-01-12 05:22:15",-23.6509,-70.3975,25737,597,23720,1420,"Antofagasta, Chile",4236.3061162009,2.31961767105723
NA,"","Araucania","Chile","2021-01-12 05:22:15",-38.9489,-72.3311,25712,344,23947,1421,"Araucania, Chile",2686.10064102028,1.33789670192906
NA,"","Arica y Parinacota","Chile","2021-01-12 05:22:15",-18.594,-69.4785,11341,232,10726,383,"Arica y Parinacota, Chile",5016.63216377373,2.04567498456926
NA,"","Atacama","Chile","2021-01-12 05:22:15",-27.5661,-70.0503,8829,115,8516,198,"Atacama, Chile",3055.60939143917,1.30252576735757
NA,"","Aysen","Chile","2021-01-12 05:22:15",-45.9864,-73.7669,1847,18,1646,183,"Aysen, Chile",1790.45735667617,0.974553329723877
NA,"","Biobio","Chile","2021-01-12 05:22:15",-37.4464,-72.1416,52198,891,48247,3060,"Biobio, Chile",3352.89262303243,1.70696195256523
NA,"","Coquimbo","Chile","2021-01-12 05:22:15",-29.959,-71.3389,14918,312,14183,423,"Coquimbo, Chile",1969.14937710042,2.09143316798498
NA,"","Los Lagos","Chile","2021-01-12 05:22:15",-41.9198,-72.1416,30285,289,27208,2788,"Los Lagos, Chile",3654.48384714519,0.954267789334654
NA,"","Los Rios","Chile","2021-01-12 05:22:15",-40.231,-72.3311,10671,111,9384,1176,"Los Rios, Chile",2772.86227675613,1.04020241776778
NA,"","Magallanes","Chile","2021-01-12 05:22:15",-52.368,-70.9863,18008,242,17167,599,"Magallanes, Chile",10813.4724048687,1.34384717903154
NA,"","Maule","Chile","2021-01-12 05:22:15",-35.5183,-71.6885,28618,595,26155,1868,"Maule, Chile",2738.69563136992,2.07911104899015
NA,"","Metropolitana","Chile","2021-01-12 05:22:15",-33.4376,-70.6505,327287,10977,311271,5039,"Metropolitana, Chile",4601.37543428699,3.35393706441136
NA,"","Nuble","Chile","2021-01-12 05:22:15",-36.7226,-71.7622,11640,231,10821,588,"Nuble, Chile",2421.92717989051,1.98453608247423
NA,"","OHiggins","Chile","2021-01-12 05:22:15",-34.5755,-71.0022,22879,608,21432,839,"OHiggins, Chile",2501.65380977634,2.6574588050177
NA,"","Tarapaca","Chile","2021-01-12 05:22:15",-19.9232,-69.5132,17513,305,16108,1100,"Tarapaca, Chile",5298.01124159754,1.74156341003826
NA,"","Unknown","Chile","2021-01-12 05:22:15",NA,NA,53,1,53,NA,"Unknown, Chile",NA,1.88679245283019
NA,"","Valparaiso","Chile","2021-01-12 05:22:15",-33.0472,-71.6127,38356,1294,35471,1591,"Valparaiso, Chile",2112.22852334542,3.37365731567421
NA,"","Amazonas","Colombia","2021-01-12 05:22:15",-1.4429,-71.5724,3337,127,3179,31,"Amazonas, Colombia",4357.02254893,3.80581360503446
NA,"","Antioquia","Colombia","2021-01-12 05:22:15",7.1986,-75.3412,290006,5146,264267,20593,"Antioquia, Colombia",4526.32094822277,1.77444604594388
NA,"","Arauca","Colombia","2021-01-12 05:22:15",7.0762,-70.7105,4776,137,4442,197,"Arauca, Colombia",1821.69093807929,2.86850921273032
NA,"","Atlantico","Colombia","2021-01-12 05:22:15",10.6966,-74.8741,100310,3566,93015,3729,"Atlantico, Colombia",3956.19512706876,3.5549795633536
NA,"","Bolivar","Colombia","2021-01-12 05:22:15",8.6704,-74.03,56125,1169,53046,1910,"Bolivar, Colombia",2711.20858311877,2.08285077951002
NA,"","Boyaca","Colombia","2021-01-12 05:22:15",5.4545,-73.362,32868,696,29356,2816,"Boyaca, Colombia",2699.90537023894,2.11756115370573
NA,"","Caldas","Colombia","2021-01-12 05:22:15",5.2983,-75.2479,36458,712,32697,3049,"Caldas, Colombia",3652.17304195822,1.95293214109386
NA,"","Capital District","Colombia","2021-01-12 05:22:15",4.711,-74.0721,522621,10650,461805,50166,"Capital District, Colombia",7050.47347976396,2.03780559908614
NA,"","Caqueta","Colombia","2021-01-12 05:22:15",0.8699,-73.8419,15518,552,14055,911,"Caqueta, Colombia",3865.11212013281,3.55715942776131
NA,"","Casanare","Colombia","2021-01-12 05:22:15",5.7589,-71.5724,9636,191,8835,610,"Casanare, Colombia",2291.53587124023,1.9821502698215
NA,"","Cauca","Colombia","2021-01-12 05:22:15",2.705,-76.826,20405,526,18412,1467,"Cauca, Colombia",1393.3197131011,2.57779955893163
NA,"","Cesar","Colombia","2021-01-12 05:22:15",9.3373,-73.6536,35018,1020,32026,1972,"Cesar, Colombia",2916.77147764319,2.91278770917814
NA,"","Choco","Colombia","2021-01-12 05:22:15",5.2528,-76.826,5126,169,4826,131,"Choco, Colombia",958.442558888311,3.29691767460008
NA,"","Cordoba","Colombia","2021-01-12 05:22:15",8.0493,-75.574,30313,1685,28098,530,"Cordoba, Colombia",1698.41375674242,5.55867119717613
NA,"","Cundinamarca","Colombia","2021-01-12 05:22:15",5.026,-74.03,75329,1884,68966,4479,"Cundinamarca, Colombia",2580.59101217515,2.50102882024187
NA,"","Guainia","Colombia","2021-01-12 05:22:15",2.5854,-68.5247,1241,20,1212,9,"Guainia, Colombia",2579.29085089579,1.6116035455278
NA,"","Guaviare","Colombia","2021-01-12 05:22:15",1.0654,-73.2603,2032,37,1950,45,"Guaviare, Colombia",2455.08475600179,1.82086614173228
NA,"","Huila","Colombia","2021-01-12 05:22:15",2.5359,-75.5277,37950,1196,35032,1722,"Huila, Colombia",3448.78978831065,3.15151515151515
NA,"","La Guajira","Colombia","2021-01-12 05:22:15",11.3548,-72.5205,14646,562,13548,536,"La Guajira, Colombia",1663.2597437994,3.83722518093677
NA,"","Magdalena","Colombia","2021-01-12 05:22:15",10.4113,-74.4057,26291,1113,24081,1097,"Magdalena, Colombia",1959.4617759248,4.23338785135598
NA,"","Meta","Colombia","2021-01-12 05:22:15",3.272,-73.0877,36260,784,34159,1317,"Meta, Colombia",3487.4706892804,2.16216216216216
NA,"","Narino","Colombia","2021-01-12 05:22:15",1.2892,-77.3579,36463,1083,32559,2821,"Narino, Colombia",2236.18170578538,2.97013410854839
NA,"","Norte de Santander","Colombia","2021-01-12 05:22:15",7.9463,-72.8988,43781,2210,39597,1974,"Norte de Santander, Colombia",2934.99516320091,5.04785180786186
NA,"","Putumayo","Colombia","2021-01-12 05:22:15",0.436,-75.5277,6384,258,5742,384,"Putumayo, Colombia",1833.52384672384,4.04135338345865
NA,"","Quindio","Colombia","2021-01-12 05:22:15",4.461,-75.6674,26018,721,23779,1518,"Quindio, Colombia",4819.00486012328,2.77115842878008
NA,"","Risaralda","Colombia","2021-01-12 05:22:15",5.3158,-75.9928,38634,859,34927,2848,"Risaralda, Colombia",4095.18327837261,2.22343013925558
NA,"","San Andres y Providencia","Colombia","2021-01-12 05:22:15",12.5567,-81.7185,2507,42,2432,33,"San Andres y Providencia, Colombia",4091.05744125326,1.67530913442361
NA,"","Santander","Colombia","2021-01-12 05:22:15",6.6437,-73.6536,73164,2556,65728,4880,"Santander, Colombia",3348.71663195012,3.49352140396917
NA,"","Sucre","Colombia","2021-01-12 05:22:15",8.814,-74.7233,17970,686,16730,554,"Sucre, Colombia",1985.93599252041,3.8174735670562
NA,"","Tolima","Colombia","2021-01-12 05:22:15",4.0925,-75.1545,50577,1437,46353,2787,"Tolima, Colombia",3802.24735319169,2.84121240880242
NA,"","Unknown","Colombia","2021-01-12 05:22:15",NA,NA,0,0,0,0,"Unknown, Colombia",NA,NA
NA,"","Valle del Cauca","Colombia","2021-01-12 05:22:15",3.8009,-76.6413,147826,4629,135492,7705,"Valle del Cauca, Colombia",3302.72039993869,3.13138419493188
NA,"","Vaupes","Colombia","2021-01-12 05:22:15",0.8554,-70.812,1142,13,1125,4,"Vaupes, Colombia",2799.22543324264,1.13835376532399
NA,"","Vichada","Colombia","2021-01-12 05:22:15",4.4234,-69.2878,1171,15,1143,13,"Vichada, Colombia",1086.19026417335,1.28095644748079
NA,"","","Costa Rica","2021-01-12 05:22:15",9.7489,-83.7534,180061,2353,138631,39077,"Costa Rica",3534.6872881133,1.30677936921377
NA,"","","Cuba","2021-01-12 05:22:15",21.521757,-77.781167,15007,153,12022,2832,"Cuba",132.493235402348,1.01952422202972
NA,"","","Dominican Republic","2021-01-12 05:22:15",18.7357,-70.1627,183282,2427,138888,41967,"Dominican Republic",1689.56141204789,1.32418895472551
NA,"","","Ecuador","2021-01-12 05:22:15",-1.8312,-78.1834,221506,14184,190350,16972,"Ecuador",1255.48515960383,6.40343828158154
NA,"","","El Salvador","2021-01-12 05:22:15",13.7942,-88.8965,48905,1428,43356,4121,"El Salvador",753.985268109946,2.91994683570187
NA,"","","Guatemala","2021-01-12 05:22:15",15.7835,-90.2308,143243,5025,131017,7201,"Guatemala",799.544887415509,3.50802482494782
NA,"","","Guyana","2021-01-12 05:22:15",4.860416,-58.93018,6588,170,6040,378,"Guyana",837.572260949274,2.58044930176078
NA,"","","Haiti","2021-01-12 05:22:15",18.9712,-72.2852,10386,238,8814,1334,"Haiti",91.0850247045985,2.29154631234354
NA,"","","Honduras","2021-01-12 05:22:15",15.2,-86.2419,128701,3285,59301,66115,"Honduras",1299.40528691292,2.55242772006434
NA,"","","Jamaica","2021-01-12 05:22:15",18.1096,-77.2975,13637,313,11506,1818,"Jamaica",460.528826362363,2.29522622277627
NA,"","Aguascalientes","Mexico","2021-01-12 05:22:15",21.8853,-102.2916,17752,1447,0,16305,"Aguascalientes, Mexico",1237.38790702862,8.15119423163587
NA,"","Baja California","Mexico","2021-01-12 05:22:15",30.8406,-115.2838,37110,6003,0,31107,"Baja California, Mexico",1020.94491464339,16.176232821342
NA,"","Baja California Sur","Mexico","2021-01-12 05:22:15",26.0444,-111.6661,19422,805,0,18617,"Baja California Sur, Mexico",2413.54628014137,4.14478426526619
NA,"","Campeche","Mexico","2021-01-12 05:22:15",19.8301,-90.5349,7422,982,0,6440,"Campeche, Mexico",741.742344973152,13.2309350579359
NA,"","Chiapas","Mexico","2021-01-12 05:22:15",16.7569,-93.1292,8559,1239,0,7320,"Chiapas, Mexico",149.362161271695,14.4759901857694
NA,"","Chihuahua","Mexico","2021-01-12 05:22:15",28.633,-106.0691,37609,4554,0,33055,"Chihuahua, Mexico",989.323388452992,12.1088037437847
NA,"","Ciudad de Mexico","Mexico","2021-01-12 05:22:15",19.4326,-99.1332,368957,18333,0,350624,"Ciudad de Mexico, Mexico",4091.04693665179,4.96887171133764
NA,"","Coahuila","Mexico","2021-01-12 05:22:15",27.0587,-101.7068,52873,4438,0,48435,"Coahuila, Mexico",1642.67162101705,8.39369810678418
NA,"","Colima","Mexico","2021-01-12 05:22:15",19.1223,-104.0072,8330,823,0,7507,"Colima, Mexico",1060.93971493454,9.87995198079232
NA,"","Durango","Mexico","2021-01-12 05:22:15",24.5593,-104.6588,26286,1652,0,24634,"Durango, Mexico",1406.42355574865,6.28471429658373
NA,"","Guanajuato","Mexico","2021-01-12 05:22:15",21.019,-101.2574,89334,5835,0,83499,"Guanajuato, Mexico",1434.35275983735,6.53166767412184
NA,"","Guerrero","Mexico","2021-01-12 05:22:15",17.4392,-99.5451,27052,2783,0,24269,"Guerrero, Mexico",739.722311547456,10.2875942629011
NA,"","Hidalgo","Mexico","2021-01-12 05:22:15",20.0911,-98.7624,26653,3744,0,22909,"Hidalgo, Mexico",863.558809673621,14.0471991895847
NA,"","Jalisco","Mexico","2021-01-12 05:22:15",20.6595,-103.3494,56595,6721,0,49874,"Jalisco, Mexico",672.973436723552,11.8756073858115
NA,"","Mexico","Mexico","2021-01-12 05:22:15",19.4969,-99.7233,156965,20440,0,136525,"Mexico, Mexico",900.659234475513,13.0220112763992
NA,"","Michoacan","Mexico","2021-01-12 05:22:15",19.5665,-101.7068,35331,2921,0,32410,"Michoacan, Mexico",732.187853403272,8.26752710084628
NA,"","Morelos","Mexico","2021-01-12 05:22:15",18.6813,-99.1013,11341,1502,0,9839,"Morelos, Mexico",554.827700583839,13.2439820121682
NA,"","Nayarit","Mexico","2021-01-12 05:22:15",21.7514,-104.8455,8348,1088,0,7260,"Nayarit, Mexico",647.849439417774,13.0330618112123
NA,"","Nuevo Leon","Mexico","2021-01-12 05:22:15",25.5922,-99.9962,90103,5453,0,84650,"Nuevo Leon, Mexico",1606.07028007971,6.05196275373739
NA,"","Oaxaca","Mexico","2021-01-12 05:22:15",17.0732,-96.7266,29892,2220,0,27672,"Oaxaca, Mexico",721.402898402425,7.42673625050181
NA,"","Puebla","Mexico","2021-01-12 05:22:15",19.0414,-98.2063,51239,6025,0,45214,"Puebla, Mexico",775.825272986354,11.7586213626339
NA,"","Queretaro","Mexico","2021-01-12 05:22:15",20.5888,-100.3899,35606,2199,0,33407,"Queretaro, Mexico",1561.91534003001,6.17592540583048
NA,"","Quintana Roo","Mexico","2021-01-12 05:22:15",19.1817,-88.4791,16561,2090,0,14471,"Quintana Roo, Mexico",961.027912809392,12.6200108689089
NA,"","San Luis Potosi","Mexico","2021-01-12 05:22:15",22.1565,-100.9855,42422,3211,0,39211,"San Luis Potosi, Mexico",1480.10810350639,7.56918579982085
