"ddg.num","ddg.type","ddg.from","ddg.to"
1,"cf","p1","p2"
2,"cf","p2","p3"
3,"df.out","p3","d1"
4,"df.out","p3","d2"
5,"df.out","p3","d3"
6,"cf","p3","p4"
7,"df.in","d1","p4"
8,"df.out","p4","d4"
9,"df.out","p4","d5"
10,"cf","p4","p5"
11,"df.in","d1","p5"
12,"df.out","p5","d6"
13,"df.out","p5","d7"
14,"cf","p5","p6"
15,"df.in","d1","p6"
16,"df.out","p6","d8"
17,"df.out","p6","d9"
18,"cf","p6","p7"
19,"df.in","d1","p7"
20,"df.out","p7","d10"
21,"df.out","p7","d11"
22,"cf","p7","p8"
23,"cf","p8","p9"
24,"df.in","d12","p9"
25,"df.out","p9","d13"
26,"cf","p9","p10"
27,"df.out","p10","d14"
28,"cf","p10","p11"
29,"df.in","d13","p11"
30,"df.in","d14","p11"
31,"df.out","p11","d15"
32,"cf","p11","p12"
33,"df.in","d16","p12"
34,"df.out","p12","d17"
35,"df.out","p12","d18"
36,"df.out","p12","d19"
37,"cf","p12","p13"
38,"df.in","d15","p13"
39,"df.in","d17","p13"
40,"cf","p13","p14"
41,"df.in","d15","p14"
42,"df.out","p14","d20"
43,"cf","p14","p15"
44,"df.in","d20","p15"
45,"df.out","p15","d21"
46,"cf","p15","p16"
47,"df.in","d17","p16"
48,"df.in","d21","p16"
49,"df.out","p16","d22"
50,"cf","p16","p17"
51,"df.in","d22","p17"
52,"df.out","p17","d23"
53,"cf","p17","p18"
54,"df.out","p18","d24"
55,"df.in","d11","p18"
