"","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","species_name","algorithm","run","partition","presencenb","absencenb","correlation","pvaluecor","AUC","AUC_pval","AUCratio","pROC","pROC_pval","TSSmax","KAPPAmax","dismo_threshold","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1",0.6162278,0.02626023,-1.67955541,0.08582276,-0.87471413,-1.1822879,"Abarema_langsdorffii","brt",1,1,21,100,0.473570986641817,4.11170318589358e-08,0.826190476190476,NA,1.65238095238095,1.39921904577977,0,0.554285714285714,0.482242190842961,"spec_sens",0.173553719008264,0.483870967741935,0.933333333333333,0.714285714285714,0.84,0.16,0.285714285714286,0.818181818181818,0.466533066132265,0.576923076923077,0.405405405405405
"2",0.68620886,-0.3811049,-0.84687062,0.13186026,0.58847501,0.58847501,"Abarema_langsdorffii","brt",1,2,21,100,0.627434324922569,1.35315122403975e-14,0.936904761904762,NA,1.87380952380952,1.68024736429656,0,0.792380952380952,0.649420529801325,"spec_sens",0.173553719008264,0.555555555555556,0.988235294117647,0.952380952380952,0.84,0.16,0.0476190476190476,0.859504132231405,0.618012999071495,0.701754385964912,0.540540540540541
"3",0.6135075,0.6135075,-1.29927021,0.10811589,0.36172745,-1.17665421,"Abarema_langsdorffii","brt",1,3,20,100,0.567293711791758,1.4230505087497e-11,0.9045,NA,1.809,1.57572616427431,0,0.73,0.61864406779661,"spec_sens",0.166666666666667,0.586206896551724,0.967032967032967,0.85,0.88,0.12,0.15,0.875,0.61864406779661,0.693877551020408,0.53125
"4",0.75790198,0.32186688,-2.46264009,0.18180866,-0.16173481,-1.91878232,"Abarema_langsdorffii","brt",1,4,21,100,0.36776669593178,3.3270960959309e-05,0.785952380952381,NA,1.57190476190476,1.37840117965192,0,0.574285714285714,0.499673558215451,"spec_sens",0.173553719008264,0.517241379310345,0.934782608695652,0.714285714285714,0.86,0.14,0.285714285714286,0.834710743801653,0.499172185430464,0.6,0.428571428571429
"5",0.8536858,0.8536858,-1.55447068,0.19363301,-0.0600058,-0.95453159,"Abarema_langsdorffii","brt",1,5,21,100,0.603086735620418,2.47819601206829e-13,0.918095238095238,NA,1.83619047619048,1.50905262464025,0,0.739523809523809,0.700022537750732,"spec_sens",0.173553719008264,0.708333333333333,0.958762886597938,0.80952380952381,0.93,0.07,0.19047619047619,0.909090909090909,0.700022537750732,0.755555555555556,0.607142857142857
